TIME 	 FLUX
1064.51943605973065132	2071203.75000000000000000
1064.52011713481624611	2071143.87500000000000000
1064.52079810993018327	2071015.37500000000000000
1064.52147928501653951	2071000.37500000000000000
1064.52216036011668621	2071314.75000000000000000
1064.52284143522410886	2071018.00000000000000000
1064.52352261031046510	2070846.50000000000000000
1064.52420368542516371	2070949.50000000000000000
1064.52488486051151995	2071072.25000000000000000
1064.52556593562621856	2070256.62500000000000000
1064.52624701071181335	2071172.12500000000000000
1064.52692798583302647	2070603.75000000000000000
1064.52760916091938270	2070979.25000000000000000
1064.52829023603408132	2071176.25000000000000000
1064.52897141112043755	2070409.87500000000000000
1064.52965248622058425	2070874.87500000000000000
1064.53033356132800691	2070857.62500000000000000
1064.53101473642891506	2070787.12500000000000000
1064.53169581152906176	2070433.25000000000000000
1064.53237678662844701	2070563.75000000000000000
1064.53305786172859371	2071055.12500000000000000
1064.53373903683677781	2070760.50000000000000000
1064.53442011193692451	2070955.50000000000000000
1064.53510118703707121	2070759.75000000000000000
1064.53578236213797936	2071017.87500000000000000
1064.53646343723812606	2071055.50000000000000000
1064.53714451233827276	2071367.25000000000000000
1064.53782558746024733	2070917.75000000000000000
1064.53850666254584212	2070980.37500000000000000
1064.53918773766054073	2071201.75000000000000000
1064.53986881274613552	2071432.62500000000000000
1064.54054998786159558	2071126.50000000000000000
1064.54123106295446632	2071312.75000000000000000
1064.54191213806916494	2070902.00000000000000000
1064.54259331317007309	2071304.25000000000000000
1064.54327428826945834	2071193.75000000000000000
1064.54395536338415695	2070477.50000000000000000
1064.54463653847778914	2070927.75000000000000000
1064.54531761359248776	2071006.87500000000000000
1064.54599868869263446	2071313.87500000000000000
1064.54667986379354261	2071307.87500000000000000
1064.54736093889368931	2071236.12500000000000000
1064.54804201400111197	2071333.87500000000000000
1064.54872318911657203	2070924.37500000000000000
1064.54940416421595728	2071059.50000000000000000
1064.55008523931610398	2071115.25000000000000000
1064.55076641443156404	2070944.00000000000000000
1064.55144748953171074	2070847.12500000000000000
1064.55212856463913340	2071066.25000000000000000
1064.55280973975459347	2071023.75000000000000000
1064.55349081484018825	2070869.62500000000000000
1064.55417198995564831	2070975.50000000000000000
1064.55485296505503356	2070706.50000000000000000
1064.55553404016245622	2071280.50000000000000000
1064.55621511527715484	2071134.00000000000000000
1064.55689629037806299	2071016.50000000000000000
1064.55757736547820969	2071042.62500000000000000
1064.55825844059290830	2071035.87500000000000000
1064.55893961569381645	2070765.75000000000000000
1064.55962069080123911	2071048.37500000000000000
1064.56030166591517627	2070893.37500000000000000
1064.56098284101608442	2071195.75000000000000000
1064.56166391611623112	2071371.37500000000000000
1064.56234499123820569	2071342.12500000000000000
