Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      8.40     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::_S_max_size(std::allocator<long> const&)
  0.00      8.40     0.00        4     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      8.40     0.00        4     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::back_inserter<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      8.40     0.00        3     0.00     0.00  void CCfits::Column::read<double>(std::valarray<double>&, long, long)
  0.00      8.40     0.00        3     0.00     0.00  void CCfits::Column::read<double>(std::valarray<double>&, long, long, double*)
  0.00      8.40     0.00        3     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_select_on_copy(std::allocator<double> const&)
  0.00      8.40     0.00        3     0.00     0.00  CCfits::Column::isRead() const
  0.00      8.40     0.00        3     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      8.40     0.00        3     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      8.40     0.00        3     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      8.40     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.00      8.40     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      8.40     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      8.40     0.00        3     0.00     0.00  std::_Array_init_ctor<double, true>::_S_do_it(double*, double*, double)
  0.00      8.40     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&)
  0.00      8.40     0.00        3     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      8.40     0.00        3     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      8.40     0.00        3     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      8.40     0.00        3     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  0.00      8.40     0.00        3     0.00     0.00  std::valarray<double>::resize(unsigned long, double)
  0.00      8.40     0.00        3     0.00     0.00  std::valarray<double>::valarray()
  0.00      8.40     0.00        3     0.00     0.00  std::valarray<double>::~valarray()
  0.00      8.40     0.00        3     0.00     0.00  void std::_Construct<double>(double*)
  0.00      8.40     0.00        3     0.00     0.00  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      8.40     0.00        3     0.00     0.00  double* std::__addressof<double>(double&)
  0.00      8.40     0.00        3     0.00     0.00  double* std::__niter_wrap<double*>(double* const&, double*)
